,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Little Paul F,Dir,S - Sale+OE,NLS,$15.86,"-300,000","-$4,759,183","1,159,635",-21%,2006-05-22 21:50:46,2006-05-17
1,Chefitz Harold N,Dir,S - Sale+OE,KNSY,$30.56,"-2,000","-$61,120","4,296",-32%,2006-05-22 21:48:43,2006-05-18
2,Kordestani Omid,"SVP, World Wide Sales, Oper.",S - Sale,GOOG,$376.80,"-1,620","-$610,414","65,439",-2%,2006-05-22 21:44:00,2006-05-18
3,Kordestani Omid,"SVP, World Wide Sales, Oper.",S - Sale,GOOG,$377.56,"-9,206","-$3,475,809","132,498",-6%,2006-05-22 21:43:19,2006-05-18
4,Kordestani Omid,"SVP, World Wide Sales, Oper.",S - Sale,GOOG,$377.88,"-6,386","-$2,413,110","803,847",-1%,2006-05-22 21:42:51,2006-05-18
5,Reyes George,CFO,S - Sale,GOOG,$377.74,"-1,508","-$569,635","11,544",-12%,2006-05-22 21:42:25,2006-05-18
6,Reyes George,CFO,S - Sale,GOOG,$377.69,-742,"-$280,249","160,420",0%,2006-05-22 21:41:57,2006-05-18
7,Rosenberg Jonathan J,VP Prod. Mgmt.,S - Sale,GOOG,$377.74,-890,"-$336,186","163,519",-1%,2006-05-22 21:41:11,2006-05-18
8,Palomba Mark E,"EVP, WW Services, Support",S - Sale,CPTH,$0.24,"-6,720","-$1,620","48,290",-12%,2006-05-22 21:32:00,2006-05-05
9,Hart Jason,CEO,P - Purchase,ACTI,$3.96,"+10,000","+$39,586","1,457,140",+1%,2006-05-22 20:51:15,2006-05-18
10,Flaxman Jon E,"SVP, Controller",S - Sale+OE,HPQ,$32.11,"-155,574","-$4,995,065","115,363",-57%,2006-05-22 20:30:44,2006-05-19
11,Bany Sarah,Dir,S - Sale,COLM,$50.11,"-10,000","-$501,143","1,232,637",-1%,2006-05-22 19:54:47,2006-05-18
12,Shubat Alexander,Chief Technical Officer,S - Sale,VIRL,$9.93,"-2,000","-$19,866","1,614,307",0%,2006-05-22 19:46:32,2006-05-22
13,Renton Hollings,"Pres, CEO",S - Sale+OE,ONXX,$20.13,"-2,500","-$50,325","42,598",-6%,2006-05-22 19:43:33,2006-05-22
14,Arbor Patrick,Dir,P - Purchase,MEM,$1.07,"+10,000","+$10,700","310,000",+3%,2006-05-22 19:37:58,2006-05-22
15,Merriman D Jonathan,"COB, CEO, 10%",P - Purchase,MEM,$1.07,"+5,000","+$5,350","2,347,150",0%,2006-05-22 19:37:36,2006-05-22
16,Springer Mary Beth,Group VP-Specialty,S - Sale+OE,CLX,$61.00,"-2,732","-$166,652","12,889",-17%,2006-05-22 19:17:33,2006-05-18
17,Ramsay Michael,Dir,S - Sale,TIVO,$7.69,"-35,000","-$269,182","1,269,829",-3%,2006-05-22 19:15:06,2006-05-18
18,Harris Parker,"EVP, Technology",S - Sale,CRM,$28.67,"-3,000","-$86,000","1,528,079",0%,2006-05-22 19:13:47,2006-05-19
19,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$30.46,"-3,800","-$115,738","22,271,006",0%,2006-05-22 19:13:26,2006-05-18
20,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$29.67,"-7,400","-$219,554","22,274,806",0%,2006-05-22 19:13:08,2006-05-18
21,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$29.18,"-8,800","-$256,806","22,282,206",0%,2006-05-22 19:12:32,2006-05-18
22,Moellenhoff David,CTO,S - Sale,CRM,$29.20,"-8,600","-$251,104","879,934",-1%,2006-05-22 19:12:07,2006-05-18
23,Harris Parker,"EVP, Technology",S - Sale,CRM,$28.90,"-3,000","-$86,710","1,531,079",0%,2006-05-22 19:10:59,2006-05-18
24,Ellin Robert S,10%,P - Purchase,COOL,$1.49,"+14,762","+$22,033","3,162,206",0%,2006-05-22 19:03:48,2006-05-18
25,Lyon William,"CEO, COB, 10%",P - Purchase,WLS,$109.00,"+65,555","+$7,145,495","5,826,652",+1%,2006-05-22 18:53:54,2006-05-18
26,Zoller Robert W Jr,"Pres, CEO",P - Purchase,KHK,$0.87,"+23,000","+$20,040","106,500",+28%,2006-05-22 18:53:01,2006-05-19
27,Taddiken Albert H,COO,S - Sale,TUNE,$6.00,"-12,000","-$72,000","228,162",-5%,2006-05-22 18:52:55,2006-05-19
28,Kodosky Jeffrey L,Dir,S - Sale,NATI,$29.08,"-6,600","-$191,926","3,872,529",0%,2006-05-22 18:45:19,2006-05-19
29,Friedman Darlene J,Dir,S - Sale+OE,CMG,$61.50,"-8,926","-$548,949",0,-100%,2006-05-22 18:38:57,2006-05-18
30,Kido Kenneth E,"Pres, Banking Products, Oper.",S - Sale+OE,WM,$45.30,"-3,382","-$153,211","60,982",-5%,2006-05-22 18:33:34,2006-05-18
31,Cohen Stephen,"SVP, CFO",P - Purchase,OSCI,$1.29,"+15,000","+$19,350","101,529",+17%,2006-05-22 18:31:25,2006-05-22
32,Faber Barton L,Dir,P - Purchase,DOCX,$6.26,"+4,870","+$30,486","434,999",+1%,2006-05-22 18:31:02,2006-05-19
33,Willett William H,COB,S - Sale+OE,PROG,$12.99,"-9,319","-$121,093","10,000",-48%,2006-05-22 18:31:02,2006-05-18
34,Friedman Lucy N,10%,P - Purchase,TARR,$16.03,"+10,000","+$160,288","8,449,072",0%,2006-05-22 18:29:59,2006-05-22
35,Patou Gary,Dir,S - Sale,OSCI,$1.33,"-30,000","-$39,900","125,926",-19%,2006-05-22 18:29:00,2006-05-22
36,Lal Anurag,SVP Business Development,S - Sale,IPAS,$6.30,"-10,000","-$63,000","53,250",-16%,2006-05-22 18:24:46,2006-05-18
37,Ryan Patrick G,Exec COB,S - Sale,AOC,$35.66,"-35,000","-$1,248,030","8,732,594",0%,2006-05-22 18:24:43,2006-05-18
38,Hines Michael F,"Exec. Vice Pres, CFO",S - Sale,DKS,$40.17,"-45,800","-$1,839,909","8,508",-84%,2006-05-22 18:24:33,2006-05-18
39,Hines Michael F,"Exec. Vice Pres, CFO",S - Sale+OE,DKS,$40.64,"-32,900","-$1,336,966","54,308",-38%,2006-05-22 18:24:07,2006-05-18
40,Ryan Patrick G,Exec COB,S - Sale,AOC,$36.68,"-42,200","-$1,548,077","17,943,998",0%,2006-05-22 18:24:02,2006-05-19
41,Ryan Patrick G,Exec COB,S - Sale,AOC,$35.87,"-48,300","-$1,732,713","8,684,294",-1%,2006-05-22 18:23:28,2006-05-18
42,Blalock Vance S,"VP, Treasurer",S - Sale+OE,WGR,$48.60,"-8,000","-$388,800","19,270",-29%,2006-05-22 18:23:09,2006-05-19
43,Ryan Patrick G,Exec COB,S - Sale,AOC,$35.71,"-29,500","-$1,053,362","8,767,594",0%,2006-05-22 18:22:57,2006-05-18
44,Smith Gilbert F,"SVP, GC",S - Sale,PFB,$33.79,"-6,100","-$206,121","83,574",-7%,2006-05-22 18:22:05,2006-05-19
45,Petro Jerry D,Dir,P - Purchase,TDCB,$11.65,+300,"+$3,495","40,789",+1%,2006-05-22 18:16:17,2006-05-22
46,Ramsay Julius M III,Dir,P - Purchase,FNBN,$18.09,+500,"+$9,046","38,416",+1%,2006-05-22 18:07:45,2006-05-19
47,"Surebridge, Inc.",10%,S - Sale,NAVI,$4.67,"-60,700","-$283,489","2,939,300",-2%,2006-05-22 18:03:12,2006-05-19
48,London Terry E,Dir,S - Sale,JOUT,$17.30,-360,"-$6,228","6,654",-5%,2006-05-22 18:00:18,2006-05-22
49,Setton George W F,"Corporate Treasurer, CTO",S - Sale+OE,PLXS,$41.35,"-4,500","-$186,075","1,086",-81%,2006-05-22 17:54:28,2006-05-19
50,Rahn William,SVP Japan,S - Sale+OE,HLF,$37.69,"-13,125","-$494,742","11,875",-53%,2006-05-22 17:54:24,2006-05-19
51,Painter Simon,"Corp Controller, Prin Acct Off",S - Sale+OE,PLXS,$41.34,"-4,500","-$186,030","2,059",-69%,2006-05-22 17:53:34,2006-05-19
52,Donovan Dennis M,EVP - HR,S - Sale+OE,HD,$38.88,"-192,418","-$7,481,317","411,809",-32%,2006-05-22 17:52:33,2006-05-18
53,Wilkinson Philip C,"Pres, COO, 10%",S - Sale,EVC,$8.05,"-18,800","-$151,418","8,981,000",0%,2006-05-22 17:50:05,2006-05-19
54,Steel Partners II LP,10%,P - Purchase,SLI,$15.02,"+6,700","+$100,665","1,495,050",0%,2006-05-22 17:48:32,2006-05-18
55,Wherry Stephen R,"VP, CFO, TREAS, ASST. SEC.",S - Sale,GV,$1.53,"-80,000","-$122,640","55,000",-59%,2006-05-22 17:46:54,2006-05-19
