,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Mather Ann,Dir,S - Sale,GOOG,$804.25,-22,"-$17,693","5,065",0%,2017-02-01 21:33:00,2017-02-01
1,Downey Thomas J,"SVP, Communications",S - Sale,BA,$164.35,"-5,000","-$821,731","39,084",-11%,2017-02-01 21:15:02,2017-01-30
2,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,DIS,$110.50,"-2,000","-$221,000","26,118",-7%,2017-02-01 20:40:38,2017-01-30
3,Braverman Alan N,"Sr EVP, GC, Secy",S - Sale+OE,DIS,$110.00,"-92,604","-$10,186,440","118,551",-44%,2017-02-01 20:40:24,2017-01-30
4,Billingsley Chester,"CEO, 10%",S - Sale,MNTR,$1.27,"-12,700","-$16,191","4,695,886",0%,2017-02-01 20:33:00,2017-01-30
5,Doherty Catherine T.,"SVP, Clin. Franchise Solutions",S - Sale+OE,DGX,$90.58,"-80,000","-$7,246,362","77,029",-51%,2017-02-01 20:23:55,2017-01-30
6,Drako Dean M,10%,S - Sale,CUDA,$22.75,"-49,200","-$1,119,328","1,629,367",-3%,2017-02-01 20:12:12,2017-01-18
7,Elsesser Adam,"COB, CEO, Pres",S - Sale+OE,PEN,$70.98,"-21,400","-$1,518,990","1,249,982",-2%,2017-02-01 20:03:51,2017-01-30
8,Rothman Lynn,"EVP, Chief Business Officer",S - Sale,PEN,$70.99,"-4,414","-$313,355","185,893",-2%,2017-02-01 19:59:26,2017-01-30
9,Bose Arani,Chief Innovator,S - Sale+OE,PEN,$70.97,"-21,400","-$1,518,853","1,232,191",-2%,2017-02-01 19:57:42,2017-01-30
10,Davis Daniel Donen,"Pres, North America",S - Sale,PEN,$71.00,"-7,298","-$518,144","51,049",-13%,2017-02-01 19:55:58,2017-01-30
11,Lee Antonio,"Investor/Large Shareholder, 10%",P - Purchase,GOOGL,$0.00,"+2,147,483,647","+$4,510,000","2,147,483,647",New,2017-02-01 19:41:49,2016-12-27
12,Grogin Jeffrey,CALO,S - Sale+OE,PFSI,$16.98,"-12,000","-$203,733","63,000",-16%,2017-02-01 19:26:56,2017-01-31
13,O'Brien Shelly,GC,S - Sale+OE,ENV,$37.95,"-4,500","-$170,775","5,740",-44%,2017-02-01 19:26:01,2017-02-01
14,Crowell Gayle A,Dir,S - Sale+OE,ENV,$37.80,-746,"-$28,199","11,244",-6%,2017-02-01 19:25:46,2017-02-01
15,Crager William,Pres,S - Sale+OE,ENV,$30.87,"-2,500","-$77,184","141,429",-2%,2017-02-01 19:25:16,2017-01-30
16,Butitta Cynthia M,COO,S - Sale+OE,KITE,$50.56,"-10,000","-$505,562","117,795",-8%,2017-02-01 19:09:17,2017-01-31
17,Marooney Caryn,Dir,S - Sale+OE,ZEN,$23.50,"-1,693","-$39,786","31,680",-5%,2017-02-01 19:03:31,2017-01-30
18,Bennett David P,Chief Accounting Officer,S - Sale,FLEX,$15.86,"-6,000","-$95,160","65,519",-8%,2017-02-01 19:03:08,2017-02-01
19,Naylon William J,"EVP, COO",S - Sale,PSMT,$83.45,"-1,800","-$150,210","47,701",-4%,2017-02-01 19:02:38,2017-01-30
20,Gasparini Laura A,"VP, HR",S - Sale+OE,SWKS,$91.43,"-3,450","-$315,434","10,876",-24%,2017-02-01 19:00:55,2017-01-30
21,Dalton Richard J,"EVP, Chief Operations Officer",S - Sale,COBZ,$17.50,"-10,000","-$174,995","96,568",-9%,2017-02-01 18:54:49,2017-01-30
22,Page Scott,"CEO, COBiz Bank",S - Sale+OE,COBZ,$17.59,"-5,667","-$99,658","69,018",-8%,2017-02-01 18:54:23,2017-01-30
23,Stretch Colin,"VP, GC",S - Sale,FB,$130.28,-750,"-$97,708","75,459",-1%,2017-02-01 18:54:17,2017-01-31
