,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Hrusovsky E Kevin,"COB, Pres, CEO",S - Sale,QTRX,$24.29,"-10,000","-$242,938","1,111,867",-1%,2020-04-23 21:45:38,2020-04-21
1,Silver Star Developments Ltd,10%,P - Purchase,SNX,$71.47,"+10,000","+$714,696","5,299,980",0%,2020-04-23 21:43:16,2020-04-22
2,Ginascol John F,EVP,S - Sale+OE,ABT,$96.00,"-63,200","-$6,067,051","66,445",-49%,2020-04-23 21:41:18,2020-04-21
3,Capek John M,EVP,S - Sale+OE,ABT,$95.87,"-50,100","-$4,803,326","316,800",-14%,2020-04-23 21:34:24,2020-04-21
4,Scoggins Christopher J,SVP,S - Sale,ABT,$96.10,-414,"-$39,785","39,706",-1%,2020-04-23 21:28:21,2020-04-21
5,Chou Shih-Chung,Dir,P - Purchase,PAAC,$0.20,"+600,000","+$120,000","1,031,250",+139%,2020-04-23 20:59:54,2020-04-20
6,Camp Garrett,Dir,S - Sale,UBER,$28.02,"-510,000","-$14,289,959","67,498,964",-1%,2020-04-23 20:46:39,2020-04-21
7,Demarco Eric M,"Pres, CEO",S - Sale,KTOS,$13.98,"-10,000","-$139,799","554,536",-2%,2020-04-23 20:45:34,2020-04-21
8,Torten Ron,"SVP Operations, IT",S - Sale,IPHI,$96.17,"-9,174","-$882,293","58,331",-14%,2020-04-23 20:31:05,2020-04-21
9,Leon Guerrero Eugenia Aflague,10%,P - Purchase,BKGM,$10.00,"+4,515","+$45,150","1,798,411",0%,2020-04-23 20:13:53,2020-04-22
10,San Agustin John Shimizu,Dir,P - Purchase,BKGM,$10.00,+180,"+$1,800","42,099",0%,2020-04-23 20:12:07,2020-04-22
11,Ada Patricia Ann Perez,Dir,P - Purchase,BKGM,$10.00,+61,+$610,"112,299",0%,2020-04-23 20:08:42,2020-04-22
12,Leon Guerrero William David,Dir,P - Purchase,BKGM,$10.00,+816,"+$8,160","81,012",+1%,2020-04-23 20:06:46,2020-04-22
13,Leon Guerrero Martin Dela Rosa,Dir,P - Purchase,BKGM,$10.00,+852,"+$8,520","95,146",+1%,2020-04-23 20:05:12,2020-04-22
14,Obstler David M,CFO,S - Sale,DDOG,$40.94,"-20,000","-$818,727","101,250",-16%,2020-04-23 20:04:17,2020-04-22
15,Swallow John,"Pres, CEO",P - Purchase,NJMC,$0.13,"+370,370","+$48,148","16,847,373",+2%,2020-04-23 19:54:14,2020-04-22
16,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,CRM,$153.86,"-10,000","-$1,538,547","30,108,800",0%,2020-04-23 19:48:35,2020-04-23
17,Robotham William A,Dir,P - Purchase,AMRB,$9.50,"+2,500","+$23,750","113,714",+2%,2020-04-23 18:59:29,2020-04-23
18,Herbert James L,Dir,S - Sale,NEOG,$66.13,"-19,368","-$1,280,835","22,476",-46%,2020-04-23 18:46:08,2020-04-21
19,D Loren Robert W,"CEO, COB, 10%",P - Purchase,XELB,$0.53,"+9,258","+$4,898","1,911,041",0%,2020-04-23 18:34:08,2020-04-21
