Unnamed: 0,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Peizer Terren S,"Exec COB, 10%",S - Sale,OTRK,$31.84,"-33,000","-$1,050,780","9,220,218",0%,2021-07-06 21:45:47,2021-07-01
1,Siegall Clay B,"Pres, CEO",S - Sale+OE,SGEN,$157.04,"-29,353","-$4,609,609","715,209",-4%,2021-07-06 21:40:10,2021-07-01
2,Barretto Ryan Paul,Pres,S - Sale,SPT,$88.42,"-5,600","-$495,177","586,886",-1%,2021-07-06 21:38:01,2021-07-01
3,Stephenson Anne,See Remarks,S - Sale,CURV,$19.64,"-11,994","-$235,502","308,879",-4%,2021-07-06 21:34:31,2021-07-06
4,Wehlitz George,CFO,S - Sale,CURV,$19.64,"-210,837","-$4,139,784","1,693,825",-11%,2021-07-06 21:31:24,2021-07-06
5,"Sycamore Partners Torrid, L.L.C.",10%,S - Sale,CURV,$19.64,"-10,701,990","-$210,133,574","82,351,986",-12%,2021-07-06 21:31:17,2021-07-06
6,Salmon Michael Robert,COO,S - Sale,CURV,$19.64,"-16,606","-$326,059","304,266",-5%,2021-07-06 21:30:24,2021-07-06
7,Munoz Elizabeth,CEO,S - Sale,CURV,$19.64,"-252,637","-$4,960,527","2,256,127",-10%,2021-07-06 21:27:05,2021-07-06
8,Harper Lisa M,Dir,S - Sale,CURV,$19.64,"-730,397","-$14,341,345","5,620,420",-12%,2021-07-06 21:26:28,2021-07-06
9,Sanford Penny,10%,S - Sale,EXPI,$39.00,"-40,000","-$1,560,141","28,144,650",0%,2021-07-06 21:14:39,2021-06-30
10,"Insight Holdings Group, LLC",10%,P - Purchase,S,$35.00,"+202,556","+$7,089,460","7,190",-104%,2021-07-06 21:14:25,2021-07-02
11,Orenstein Daniel H.,GC,S - Sale+OE,HCAT,$55.98,"-2,500","-$139,957","78,046",-3%,2021-07-06 21:07:35,2021-07-01
12,Llewelyn Linda,Chief People Officer,S - Sale+OE,HCAT,$55.86,"-3,260","-$182,117","36,111",-8%,2021-07-06 21:07:25,2021-07-01
13,Degnan Christopher William,Chief Revenue Officer,S - Sale+OE,SNOW,$238.50,"-25,563","-$6,096,645","575,186",-4%,2021-07-06 21:02:48,2021-07-01
14,Balogh Aristotle N,CTO,S - Sale,ABNB,$154.70,"-4,000","-$618,806","347,568",-1%,2021-07-06 21:01:42,2021-07-01
15,Gebbia Joseph,"See Remarks, 10%",S - Sale+OE,ABNB,$154.18,"-204,166","-$31,478,678","1,656,753",-11%,2021-07-06 20:58:13,2021-07-01
16,Burton Herbert A.,"Regional VP, GM - West",S - Sale,USCR,$73.76,-501,"-$36,954","13,767",-4%,2021-07-06 20:43:00,2021-07-02
17,Hahn Kenneth R,See Remarks,S - Sale+OE,COUR,$40.45,"-75,000","-$3,034,014","80,000",-48%,2021-07-06 20:37:59,2021-07-01
18,Hult William,Pres,S - Sale+OE,TW,$85.74,"-79,037","-$6,776,303","400,858",-16%,2021-07-06 20:22:40,2021-07-01
19,Romp Charles R,"EVP, Commercial",S - Sale,SGEN,$158.41,-703,"-$111,362","43,187",-2%,2021-07-06 20:13:44,2021-07-02
20,Garcia Ernest C. II,10%,S - Sale+OE,CVNA,$304.73,"-60,000","-$18,283,694","73,519,802",0%,2021-07-06 20:10:39,2021-07-01
21,Moore Alexander D.,Dir,S - Sale,PLTR,$25.10,"-11,000","-$276,120","2,225,626",0%,2021-07-06 20:02:05,2021-07-01
22,Bunker Kevin D.,COO,S - Sale,ZNTL,$51.23,"-8,420","-$431,367","1,044,913",-1%,2021-07-06 20:01:30,2021-07-01
23,"Epperly Melissa B,",CFO,S - Sale,ZNTL,$51.27,"-3,083","-$158,054","257,074",-1%,2021-07-06 20:01:08,2021-07-01
24,Sun Anthony Y,"Pres, CEO",S - Sale,ZNTL,$51.21,"-26,794","-$1,372,235","2,810,331",-1%,2021-07-06 20:00:46,2021-07-01
25,Crystal Adam,Chief Medical Officer,S - Sale+OE,CCCC,$37.98,"-15,000","-$569,666",0,-100%,2021-07-06 20:00:26,2021-07-01
26,Hornblower Josiah,Dir,S - Sale,STTK,$28.45,"-12,804","-$364,296","3,264,841",0%,2021-07-06 20:00:21,2021-07-01
27,Gallagher Cam,Dir,S - Sale,ZNTL,$49.58,"-10,000","-$495,827","505,573",-2%,2021-07-06 20:00:08,2021-07-02
28,Schimkaitis John R,Chair of the Board,S - Sale,CPK,$119.89,"-2,250","-$269,753","97,124",-2%,2021-07-06 19:59:20,2021-07-01
29,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,FB,$354.20,"-77,300","-$27,379,309","1,840,846",-4%,2021-07-06 19:55:24,2021-07-02
30,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,FB,$350.78,"-77,300","-$27,115,236","1,855,846",-4%,2021-07-06 19:53:01,2021-07-01
31,Jenkins Mark W.,CFO,S - Sale+OE,CVNA,$302.97,"-10,000","-$3,029,700","30,665",-25%,2021-07-06 19:51:51,2021-07-01
32,Huston Benjamin E.,COO,S - Sale+OE,CVNA,$302.96,"-10,000","-$3,029,600","30,665",-25%,2021-07-06 19:50:40,2021-07-01
33,Malloy Brendan D,"SVP, Cyber Ops",S - Sale,TLS,$32.00,"-103,607","-$3,315,919","429,118",-19%,2021-07-06 19:50:34,2021-07-02
34,Williams Edward L,"EVP, COO",S - Sale,TLS,$32.17,"-1,200","-$38,604","1,069,730",0%,2021-07-06 19:49:20,2021-07-02
35,Taira Thomas,"Pres, Special Projects",S - Sale,CVNA,$312.39,-155,"-$48,420","44,323",0%,2021-07-06 19:49:01,2021-07-06
36,Wood Emmett J.,"EVP, Marketing, Strategy",S - Sale,TLS,$33.02,"-4,407","-$145,526","443,602",-1%,2021-07-06 19:48:37,2021-07-02
37,Ullal Jayshree,"Pres, CEO",S - Sale+OE,ANET,$364.09,"-2,375","-$864,701","3,206,656",0%,2021-07-06 19:47:34,2021-07-01
38,Taxay Marc,"SVP, GC",S - Sale+OE,ANET,$363.39,-501,"-$182,058",0,-100%,2021-07-06 19:47:21,2021-07-01
39,Sadana Anshul,"SVP, COO",S - Sale+OE,ANET,$364.13,"-4,234","-$1,541,730","2,421",-64%,2021-07-06 19:47:12,2021-07-01
40,Mather Ann,Dir,S - Sale+OE,ANET,$363.39,-417,"-$151,534",586,-42%,2021-07-06 19:46:58,2021-07-01
41,Keyt Bruce,Chief Scientific Officer,S - Sale+OE,IGMS,$82.50,"-1,247","-$102,878","4,070",-23%,2021-07-06 19:46:13,2021-07-06
42,Chen Daniel Shinyu,Chief Medical Officer,S - Sale+OE,IGMS,$82.75,-943,"-$78,033","116,518",-1%,2021-07-06 19:45:18,2021-07-06
43,Kopits Laszlo,GC,S - Sale+OE,DDOG,$105.00,"-4,000","-$420,000","113,476",-3%,2021-07-06 19:43:41,2021-07-01
44,Auerbach Alan H,"Pres, CEO, 10%",S - Sale,PBYI,$8.84,"-5,332","-$47,121","4,421,318",0%,2021-07-06 19:42:08,2021-07-02
45,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,ROKU,$440.03,"-85,000","-$37,402,874","61,000",-58%,2021-07-06 19:37:12,2021-07-01
46,Bvf Partners L P/il,"See Remarks, 10%",P - Purchase,RAIN,$15.47,"+587,002","+$9,078,692","3,727,742",+19%,2021-07-06 19:34:13,2021-07-01
47,Rubenstein Andrew H.,"CEO, Pres",S - Sale,ACEL,$11.74,"-25,000","-$293,420","4,296,618",-1%,2021-07-06 19:33:44,2021-07-01
48,Rubenstein Gordon,Dir,S - Sale,ACEL,$12.01,"-9,714","-$116,704","222,901",-4%,2021-07-06 19:32:49,2021-07-01
49,Arntz Michael,Chief Revenue Officer,S - Sale+OE,SMAR,$71.89,"-7,000","-$503,230","5,903",-54%,2021-07-06 19:32:27,2021-07-01
50,Ruttenberg David W.,Dir,S - Sale,ACEL,$12.00,"-7,253","-$87,036","450,202",-2%,2021-07-06 19:31:51,2021-07-01
51,Finn Patrick John,Chief Commercial Officer,S - Sale+OE,TWST,$131.70,"-2,702","-$355,853","41,155",-6%,2021-07-06 19:27:44,2021-07-02
52,Gilpin Jamie Cannon,CMO,S - Sale,SPT,$88.39,"-5,000","-$441,973","104,384",-5%,2021-07-06 19:25:17,2021-07-01
53,Del Preto Joseph,"CFO, Treasurer",S - Sale,SPT,$89.02,"-2,550","-$227,001","127,375",-2%,2021-07-06 19:24:58,2021-07-02
54,Kim Helen Susan,Dir,S - Sale,AMTI,$43.32,"-200,000","-$8,663,731","600,000",-25%,2021-07-06 19:22:27,2021-07-02
55,Diorio Chris Ph.D.,CEO,S - Sale+OE,PI,$49.63,"-1,546","-$76,728","933,155",0%,2021-07-06 19:21:39,2021-07-02
